"","x"
"1263",13.8663
"1264",14.179
"1265",14.9508
"1266",14.0574
"1267",14.3952
"1268",14.2085
"1269",14.4398
"1270",14.6897
"1271",14.4602
"1272",14.5845
"1273",14.5189
"1274",14.2952
"1275",14.6118
"1276",14.4376
"1277",14.2905
"1278",14.3331
"1279",14.2899
"1280",14.5679
"1281",14.3828
"1282",14.2354
"1283",14.4494
"1284",14.3542
"1285",14.5708
"1286",15.1452
"1287",14.9655
"1288",14.6805
"1289",14.7145
"1290",14.9265
"1291",14.4898
"1292",14.4277
"1293",14.2757
"1294",15.1896
"1295",15.0947
"1296",14.9481
"1297",14.7991
"1298",15.3192
"1299",15.3233
"1300",15.0945
"1301",15.489
"1302",15.5878
"1303",16.2124
"1304",15.5087
"1305",15.4732
"1306",15.331
"1307",14.5831
"1308",14.3569
"1309",16.2978
"1310",14.5075
"1311",14.3125
"1312",15.0662
"1313",16.9746
"1314",17.5211
"1315",16.5564
"1316",16.5491
"1317",14.7945
"1318",15.1779
"1319",14.6199
"1320",16.3928
"1321",15.5483
"1322",13.5783
"1323",12.8629
"1324",13.0943
"1325",12.1781
"1326",11.5519
"1327",11.6033
"1328",11.6872
"1329",12.0469
"1330",12.3791
"1331",12.1691
"1332",12.2338
"1333",12.0639
"1334",11.9991
"1335",12.0036
"1336",12.093
"1337",11.9779
"1338",12.1426
"1339",11.965
"1340",12.3796
"1341",12.6501
"1342",12.5378
"1343",13.0764
"1344",12.7723
"1345",11.9547
"1346",12.5352
"1347",12.4693
"1348",13.0518
"1349",12.3797
"1350",11.7952
"1351",12.0024
"1352",12.6159
"1353",12.3938
"1354",12.507
"1355",12.6035
"1356",12.6292
"1357",12.4615
"1358",12.5462
"1359",12.6161
"1360",12.1313
"1361",12.2243
"1362",12.2361
"1363",12.1639
"1364",12.0406
"1365",12.4905
"1366",12.7571
"1367",12.7808
"1368",12.6046
"1369",12.6616
"1370",12.3323
"1371",12.3307
"1372",12.1405
"1373",11.9108
"1374",11.8646
"1375",11.9434
"1376",11.7489
"1377",12.2064
"1378",12.035
"1379",11.9269
"1380",12.0369
"1381",12.1245
"1382",12.2977
"1383",12.8635
"1384",13.167
"1385",12.5679
"1386",12.2561
"1387",12.4003
"1388",12.2984
"1389",12.1291
"1390",12.3212
"1391",12.6088
"1392",12.6395
"1393",12.2654
"1394",12.1642
"1395",13.5297
"1396",13.3879
"1397",12.2137
"1398",11.701
"1399",11.7732
"1400",11.6612
"1401",11.724
"1402",11.7205
"1403",12.189
"1404",12.1985
"1405",12.2412
"1406",12.1819
"1407",12.4063
"1408",12.4336
"1409",12.5651
"1410",12.7232
"1411",12.1679
"1412",12.1375
"1413",12.1827
"1414",12.5127
"1415",12.6254
"1416",12.0615
"1417",12.8664
"1418",12.1494
"1419",12.6142
"1420",12.4976
"1421",11.8762
"1422",13.0342
"1423",12.4994
"1424",12.7767
"1425",13.2342
"1426",13.9127
"1427",14.0526
"1428",13.7384
"1429",14.0327
"1430",13.903
"1431",12.7199
"1432",14.762
"1433",14.1612
"1434",14.2484
"1435",14.1236
"1436",14.1164
"1437",14.2099
"1438",14.4813
"1439",14.2452
"1440",14.1943
